Name,Phone Number,Website,Address,Google Maps URL,Rating,User Ratings Total,Price Level,Operating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Note Dublin,(01) 244 7344,https://www.notedublin.com/,"26 Fenian Street, Dublin",https://maps.google.com/?cid=10905962132532342482,4.4,200,,True,5:00 – 11:30 PM,5:00 – 11:30 PM,5:00 – 11:30 PM,5:00 PM – 12:00 AM,12:30 PM – 12:00 AM,12:30 PM – 12:00 AM,Closed
Chapter One,(01) 873 2266,http://www.chapteronerestaurant.com/,"18-19 Parnell Square North, Dublin 1",https://maps.google.com/?cid=708522748158991526,4.8,962,4.0,True,Closed,6:30 – 9:30 PM,6:30 – 9:30 PM,"12:30 – 2:00 PM, 6:30 – 9:30 PM","12:30 – 2:00 PM, 6:30 – 9:30 PM","12:30 – 2:00 PM, 6:30 – 9:30 PM",Closed
BAMBINO,(01) 547 1552,http://www.bmbno.ie/,"37 Stephen Street Lower, Dublin",https://maps.google.com/?cid=13922473583719986027,4.5,815,2.0,True,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 PM – 1:00 AM,12:00 PM – 1:00 AM,12:00 – 11:00 PM
Bunsen Temple Bar,(01) 559 9532,http://bunsen.ie/,"22 Essex Street East, Dublin",https://maps.google.com/?cid=12494007092180586454,4.6,4792,2.0,True,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 10:30 PM,12:00 – 10:30 PM,12:00 – 10:30 PM,12:00 – 9:30 PM
Bunsen,(01) 652 1022,http://bunsen.ie/,"3 Anne Street South, Dublin 2",https://maps.google.com/?cid=10739100723712713121,4.6,2851,2.0,True,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 10:30 PM,12:00 – 10:30 PM,12:00 – 10:30 PM,12:00 – 9:30 PM
Bunsen,(01) 552 5408,http://www.bunsen.ie/,"36 Wexford Street, Dublin 2",https://maps.google.com/?cid=5561942859707906765,4.6,3555,2.0,True,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 10:30 PM,12:00 – 10:30 PM,12:00 – 10:30 PM,12:00 – 9:30 PM
Bunsen Dame Street,(01) 561 3853,http://bunsen.ie/,"53 Dame Street, Dublin",https://maps.google.com/?cid=282902106687801087,4.6,1014,2.0,True,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 10:30 PM,12:00 – 10:30 PM,12:00 – 10:30 PM,12:00 – 9:30 PM
Bunsen Baggot Street,(01) 551 5833,https://www.bunsen.ie/,"24 Baggot Street Upper, Dublin",https://maps.google.com/?cid=3566809314721345779,4.4,460,,True,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 10:30 PM,12:00 – 10:30 PM,12:00 – 10:30 PM,12:00 – 9:30 PM
Bunsen Ranelagh,(01) 444 0071,http://www.bunsen.ie/,"97 Ranelagh, Dublin 6",https://maps.google.com/?cid=4098845188201598350,4.6,1214,2.0,True,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 10:30 PM,12:00 – 10:30 PM,12:00 – 10:30 PM,12:00 – 9:30 PM
Bunsen Blanchardstown,(01) 822 7659,https://www.bunsen.ie/,"Unit 456, Blanchardstown Centre, Dublin 15",https://maps.google.com/?cid=15956230519620982563,4.5,425,2.0,True,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 9:30 PM,12:00 – 10:30 PM,12:00 – 10:30 PM,12:00 – 10:30 PM,12:00 – 9:30 PM
