Name,Phone Number,Website,Address,Google Maps URL,Rating,User Ratings Total,Price Level,Operating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
The Decadente,911 183 459,,"Rua de São Pedro de Alcântara 81, Lisboa",https://maps.google.com/?cid=3440653532931393532,4.3,1835,2.0,True,7:00 – 11:00 PM,7:00 – 11:00 PM,7:00 – 11:00 PM,7:00 – 11:00 PM,7:00 PM – 12:00 AM,7:00 PM – 12:00 AM,7:00 – 11:00 PM
Estrela da Bica,21 347 3310,,"Travessa do Cabral 33, Lisboa",https://maps.google.com/?cid=14954837658504845478,4.5,1001,2.0,True,7:00 PM – 12:00 AM,7:00 PM – 12:00 AM,7:00 PM – 12:00 AM,7:00 PM – 12:00 AM,7:00 PM – 12:00 AM,7:00 PM – 12:00 AM,Closed
Panda Cantina,,http://www.facebook.com/pandacantina,"Rua da Prata 252, Lisboa",https://maps.google.com/?cid=1487874901935472538,4.6,2232,1.0,True,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM
Leonetta,939 834 631,http://letsumai.com/widget/leonetta,"Rua da Rosa 321, Lisboa",https://maps.google.com/?cid=10947435780385664141,4.4,1225,2.0,True,"12:00 – 4:00 PM, 5:30 PM – 12:30 AM","12:00 – 4:00 PM, 5:30 PM – 12:30 AM","12:00 – 4:00 PM, 5:30 PM – 12:30 AM","12:00 – 4:00 PM, 5:30 PM – 12:30 AM",12:00 PM – 12:30 AM,12:00 PM – 12:30 AM,12:00 PM – 12:30 AM
Casa das Bifanas,21 342 3184,https://casadasbifanas.eatbu.com/,"Praça da Figueira 7A, Lisboa",https://maps.google.com/?cid=14080506497307261846,3.9,2662,1.0,True,6:30 AM – 12:00 AM,6:30 AM – 12:00 AM,6:30 AM – 12:00 AM,6:30 AM – 12:00 AM,6:30 AM – 12:00 AM,6:30 AM – 12:00 AM,Closed
Santa Clara dos Cogumelos,913 043 302,http://www.santaclaradoscogumelos.com/,"Mercado de Santa Clara, Campo de Santa Clara, Lisboa",https://maps.google.com/?cid=9504499162068312291,4.7,954,2.0,True,7:30 – 11:00 PM,7:30 – 11:00 PM,7:30 – 11:00 PM,7:30 – 11:00 PM,7:30 – 11:00 PM,"1:00 – 3:30 PM, 7:30 – 11:00 PM",7:30 – 11:00 PM
Tasca Pete,,https://instagram.com/tasca.pete?igshid=YmMyMTA2M2Y=,"Rua Angelina Vidal 24A, Lisboa",https://maps.google.com/?cid=10223479490188122635,4.6,155,,True,Closed,Closed,7:00 PM – 12:00 AM,7:00 PM – 12:00 AM,7:00 PM – 12:00 AM,7:00 PM – 12:00 AM,Closed
Comadre,21 314 0068,,"Rua Luciano Cordeiro 81C, Lisboa",https://maps.google.com/?cid=12490313574449103067,4.4,526,2.0,True,6:00 PM – 12:30 AM,6:00 PM – 12:30 AM,6:00 PM – 12:30 AM,6:00 PM – 12:30 AM,6:00 PM – 12:30 AM,6:00 PM – 12:30 AM,6:00 PM – 12:30 AM
Palácio dos Duques de Lafões ou do Grilo,910 440 942,http://www.palaciogrilo.com/,"Calçada do Duque de Lafões 1, Lisboa",https://maps.google.com/?cid=15954037697981136674,4.4,631,,True,11:00 AM – 12:00 AM,11:00 AM – 12:00 AM,11:00 AM – 12:00 AM,11:00 AM – 1:00 AM,11:00 AM – 1:00 AM,11:00 AM – 1:00 AM,4:30 PM – 1:00 AM
Tasca Baldracca,,,"Rua das Farinhas 1, Lisboa",https://maps.google.com/?cid=10595307602360341415,4.4,572,2.0,True,Closed,"12:30 – 3:00 PM, 8:00 – 11:00 PM","12:30 – 3:00 PM, 8:00 – 11:00 PM","12:30 – 3:00 PM, 8:00 – 11:00 PM","12:30 – 3:00 PM, 8:00 – 11:00 PM","12:30 – 3:00 PM, 8:00 – 11:00 PM",Closed
