Name,Phone Number,Website,Address,Google Maps URL,Rating,User Ratings Total,Price Level,Operating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Widder,044 224 24 12,http://widderrestaurant.com/,"Widdergasse 6, Zürich",https://maps.google.com/?cid=15063035507633895394,4.7,54,,True,Closed,Closed,7:00 – 10:00 PM,"12:00 – 1:30 PM, 7:00 – 10:00 PM","12:00 – 1:30 PM, 7:00 – 10:00 PM",7:00 – 10:00 PM,Closed
Kronenhalle,044 262 99 00,http://www.kronenhalle.com/,"Rämistrasse 4, Zürich",https://maps.google.com/?cid=6528021871218798006,4.6,1725,4.0,True,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM,12:00 PM – 12:00 AM
Helvetia,044 297 99 99,https://hotel-helvetia.ch/,"Stauffacherquai 1, Zürich",https://maps.google.com/?cid=1635833667336751287,4.4,942,,True,"7:00 AM – 3:00 PM, 5:30 – 11:00 PM","7:00 AM – 3:00 PM, 5:00 – 11:00 PM","7:00 AM – 3:00 PM, 5:00 – 11:00 PM","7:00 AM – 3:00 PM, 5:00 – 11:00 PM","7:00 AM – 3:00 PM, 5:00 – 11:00 PM",8:00 AM – 11:00 PM,8:00 AM – 12:00 PM
Maison Manesse,044 462 01 01,http://www.maisonmanesse.ch/,"Hopfenstrasse 2, Zürich",https://maps.google.com/?cid=1899010680521790238,4.7,545,4.0,True,Closed,Closed,6:00 PM – 12:00 AM,6:00 PM – 12:00 AM,6:00 PM – 12:00 AM,6:00 PM – 12:00 AM,Closed
Alpenrose,044 431 11 66,http://www.restaurantalpenrose.ch/,"Fabrikstrasse 12, Zürich",https://maps.google.com/?cid=11193286958775823813,4.7,499,2.0,True,Closed,11:00 AM – 11:00 PM,11:00 AM – 11:00 PM,11:00 AM – 11:00 PM,11:00 AM – 11:00 PM,5:00 – 11:00 PM,5:00 – 10:00 PM
CLOUDS,044 404 30 00,http://www.clouds.ch/,"Maagplatz 5, Zürich",https://maps.google.com/?cid=10852654815929467025,4.0,1891,3.0,True,11:00 AM – 11:00 PM,11:00 AM – 11:00 PM,11:00 AM – 11:00 PM,11:00 AM – 11:00 PM,11:00 AM – 12:00 AM,"10:00 AM – 3:00 PM, 4:00 PM – 12:00 AM","10:00 AM – 3:00 PM, 4:00 – 11:00 PM"
Le Cèdre - Badenerstrasse,044 241 42 72,https://www.libanesisch.ch/lokale/le-cedre,"Badenerstrasse 78, Zürich",https://maps.google.com/?cid=6907476906985943965,4.4,2056,2.0,True,Closed,"11:30 AM – 2:30 PM, 6:00 PM – 12:00 AM","11:30 AM – 2:30 PM, 6:00 PM – 12:00 AM","11:30 AM – 2:30 PM, 6:00 PM – 12:00 AM","11:30 AM – 2:30 PM, 6:00 PM – 12:00 AM",6:00 PM – 12:00 AM,6:00 PM – 12:00 AM
Le Cèdre - Bellevue,044 252 83 70,https://www.libanesisch.ch/lokale/restaurant-le-cedre-bellevue,"Schifflände 5, Zürich",https://maps.google.com/?cid=671490592801191722,4.0,1788,3.0,True,"11:30 AM – 3:00 PM, 6:00 PM – 12:00 AM","11:30 AM – 3:00 PM, 6:00 PM – 12:00 AM","11:30 AM – 3:00 PM, 6:00 PM – 12:00 AM","11:30 AM – 3:00 PM, 6:00 PM – 12:00 AM","11:30 AM – 3:00 PM, 6:00 PM – 12:00 AM","11:30 AM – 4:00 PM, 6:00 PM – 12:00 AM","11:30 AM – 4:00 PM, 6:00 PM – 12:00 AM"
Le Cèdre,044 221 98 02,https://www.libanesisch.ch/,"Nüschelerstrasse 31, Zürich",https://maps.google.com/?cid=17916493207502378962,4.4,573,2.0,True,"11:30 AM – 2:30 PM, 6:00 PM – 12:00 AM","11:30 AM – 2:30 PM, 6:00 PM – 12:00 AM","11:30 AM – 2:30 PM, 6:00 PM – 12:00 AM","11:30 AM – 2:30 PM, 6:00 PM – 12:00 AM","11:30 AM – 2:30 PM, 6:00 PM – 12:00 AM","11:30 AM – 3:00 PM, 6:00 PM – 12:00 AM",11:30 AM – 5:00 PM
Die Waid,043 422 08 08,https://diewaid.ch/,"Waidbadstrasse 45, Zürich",https://maps.google.com/?cid=93449714562076479,4.2,2620,3.0,True,11:30 AM – 11:00 PM,11:30 AM – 11:00 PM,11:30 AM – 11:00 PM,11:30 AM – 11:00 PM,11:30 AM – 11:00 PM,11:30 AM – 11:00 PM,11:30 AM – 10:00 PM
